cantante,nacionalidad,fecha_nac,concierto,num_canciones,duracion,recinto,pais,continente,max_entradas,entradas_vendidas
Halsey,Estadounidense,1994-09-29 00:00:00,Manic World Tour,20,105,Rod Laver Arena,Australia,Oceanía,15000,12875
Harry Styles,Británico,1994-02-01 00:00:00,Love On Tour,22,110,Rose Bowl Stadium,Estados Unidos,América del Norte,88000,74501
Billie Eilish,Estadounidense,2001-12-18 00:00:00,Happier Than Ever Tour,24,110,Wembley Stadium,Reino Unido,Europa,90000,72273
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Sweetener World Tour,26,125,WiZink Center,España,Europa,17000,8514
Lorde,Neozelandesa,1996-11-07 00:00:00,Melodrama World Tour,18,100,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,50451
Halsey,Estadounidense,1994-09-29 00:00:00,Manic World Tour,20,105,Palau Sant Jordi,España,Europa,18000,17936
Katy Perry,Estadounidense,1984-10-25 00:00:00,Witness Tour,22,110,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,43291
The Weeknd,Canadiense,1990-02-16 00:00:00,After Hours Til Dawn Tour,30,140,Foro Sol,México,América del Norte,65000,46861
Billie Eilish,Estadounidense,2001-12-18 00:00:00,When We All Fall Asleep Tour,22,105,Allianz Arena,Alemania,Europa,75000,64411
Billie Eilish,Estadounidense,2001-12-18 00:00:00,When We All Fall Asleep Tour,22,105,Olympic Stadium,Reino Unido,Europa,60000,42280
The Weeknd,Canadiense,1990-02-16 00:00:00,After Hours Til Dawn Tour,30,140,Arena Corinthians,Brasil,América del Sur,49000,37755
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Night Visions Tour,17,95,Scotiabank Arena,Canadá,América del Norte,20000,15177
Katy Perry,Estadounidense,1984-10-25 00:00:00,Play Residency,19,95,Santiago Bernabéu,España,Europa,81000,75340
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Night Visions Tour,17,95,Scotiabank Arena,Canadá,América del Norte,20000,19897
Ed Sheeran,Británico,1991-02-17 00:00:00,Multiply Tour,17,100,Madison Square Garden,Estados Unidos,América del Norte,20000,13311
Justin Bieber,Canadiense,1994-03-01 00:00:00,Believe Tour,20,100,National Stadium Singapore,Singapur,Asia,55000,50599
Ed Sheeran,Británico,1991-02-17 00:00:00,Multiply Tour,17,100,Accor Arena,Francia,Europa,20000,18544
Billie Eilish,Estadounidense,2001-12-18 00:00:00,When We All Fall Asleep Tour,22,105,Tokyo Dome,Japón,Asia,55000,43984
Justin Bieber,Canadiense,1994-03-01 00:00:00,Purpose World Tour,24,115,Scotiabank Arena,Canadá,América del Norte,20000,11125
Taylor Swift,Estadounidense,1989-12-13 00:00:00,Reputation Stadium Tour,24,120,Foro Sol,México,América del Norte,65000,35526
Dua Lipa,Británica,1995-08-22 00:00:00,Future Nostalgia Tour,22,110,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,44566
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Dangerous Woman Tour,22,110,MetLife Stadium,Estados Unidos,América del Norte,82500,75267
Rihanna,Barbadense,1988-02-20 00:00:00,Anti World Tour,22,110,MetLife Stadium,Estados Unidos,América del Norte,82500,50510
Beyonce,Estadounidense,1981-09-04 00:00:00,Mrs Carter Show World Tour,30,135,Movistar Arena Madrid,España,Europa,17000,15159
Halsey,Estadounidense,1994-09-29 00:00:00,Hopeless Fountain Kingdom Tour,18,100,Staples Center,Estados Unidos,América del Norte,20000,17503
Coldplay,Británico,2000-01-01 00:00:00,Mylo Xyloto Tour,22,110,Arena Ciudad de México,México,América del Norte,22000,15123
Beyonce,Estadounidense,1981-09-04 00:00:00,Mrs Carter Show World Tour,30,135,Arena Ciudad de México,México,América del Norte,22000,18579
Billie Eilish,Estadounidense,2001-12-18 00:00:00,When We All Fall Asleep Tour,22,105,MetLife Stadium,Estados Unidos,América del Norte,82500,75857
Harry Styles,Británico,1994-02-01 00:00:00,Love On Tour,22,110,Arena Corinthians,Brasil,América del Sur,49000,31664
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Dangerous Woman Tour,22,110,AT&T Stadium,Estados Unidos,América del Norte,80000,73933
Sam Smith,Británico,1992-05-19 00:00:00,In the Lonely Hour Tour,16,90,Rogers Centre,Canadá,América del Norte,50000,44798
Maroon 5,Estadounidense,2000-01-01 00:00:00,World Tour,20,105,WiZink Center,España,Europa,17000,12900
Lorde,Neozelandesa,1996-11-07 00:00:00,Melodrama World Tour,18,100,SoFi Stadium,Estados Unidos,América del Norte,70000,41420
Katy Perry,Estadounidense,1984-10-25 00:00:00,California Dreams Tour,22,110,Foro Sol,México,América del Norte,65000,57002
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Smoke + Mirrors Tour,19,100,SoFi Stadium,Estados Unidos,América del Norte,70000,46056
Sam Smith,Británico,1992-05-19 00:00:00,Gloria Tour,20,105,WiZink Center,España,Europa,17000,14235
Harry Styles,Británico,1994-02-01 00:00:00,Harry Styles Live Tour,17,100,Movistar Arena Madrid,España,Europa,17000,15213
Ed Sheeran,Británico,1991-02-17 00:00:00,Multiply Tour,17,100,WiZink Center,España,Europa,17000,15093
Justin Bieber,Canadiense,1994-03-01 00:00:00,Justice World Tour,22,110,AT&T Stadium,Estados Unidos,América del Norte,80000,57515
Harry Styles,Británico,1994-02-01 00:00:00,Harry Styles Live Tour,17,100,Movistar Arena Madrid,España,Europa,17000,16790
Sam Smith,Británico,1992-05-19 00:00:00,In the Lonely Hour Tour,16,90,Allianz Arena,Alemania,Europa,75000,55818
Maroon 5,Estadounidense,2000-01-01 00:00:00,Overexposed Tour,18,95,Santiago Bernabéu,España,Europa,81000,80845
Maroon 5,Estadounidense,2000-01-01 00:00:00,World Tour,20,105,Arena Ciudad de México,México,América del Norte,22000,15710
Sam Smith,Británico,1992-05-19 00:00:00,Thrill of It All Tour,19,100,Sydney Olympic Park,Australia,Oceanía,83000,82537
Rihanna,Barbadense,1988-02-20 00:00:00,Anti World Tour,22,110,Arena Corinthians,Brasil,América del Sur,49000,25864
Billie Eilish,Estadounidense,2001-12-18 00:00:00,When We All Fall Asleep Tour,22,105,Sydney Olympic Park,Australia,Oceanía,83000,63571
Sam Smith,Británico,1992-05-19 00:00:00,In the Lonely Hour Tour,16,90,Rose Bowl Stadium,Estados Unidos,América del Norte,88000,49388
Ed Sheeran,Británico,1991-02-17 00:00:00,Mathematics Tour,24,120,Rogers Centre,Canadá,América del Norte,50000,49069
Lorde,Neozelandesa,1996-11-07 00:00:00,Melodrama World Tour,18,100,Estadio Azteca,México,América del Norte,87000,72912
Rihanna,Barbadense,1988-02-20 00:00:00,Diamonds World Tour,24,120,Movistar Arena Madrid,España,Europa,17000,9567
Rihanna,Barbadense,1988-02-20 00:00:00,Loud Tour,22,110,Movistar Arena Madrid,España,Europa,17000,12579
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Shawn Mendes: The Tour,22,110,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,62385
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Illuminate World Tour,18,95,National Stadium Singapore,Singapur,Asia,55000,43472
Sam Smith,Británico,1992-05-19 00:00:00,In the Lonely Hour Tour,16,90,Rose Bowl Stadium,Estados Unidos,América del Norte,88000,64758
Lorde,Neozelandesa,1996-11-07 00:00:00,Solar Power Tour,17,95,Arena Ciudad de México,México,América del Norte,22000,17973
Billie Eilish,Estadounidense,2001-12-18 00:00:00,When We All Fall Asleep Tour,22,105,Rose Bowl Stadium,Estados Unidos,América del Norte,88000,81596
Katy Perry,Estadounidense,1984-10-25 00:00:00,Play Residency,19,95,Palau Sant Jordi,España,Europa,18000,13126
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Night Visions Tour,17,95,Camp Nou,España,Europa,99000,72567
Taylor Swift,Estadounidense,1989-12-13 00:00:00,Speak Now World Tour,15,95,MetLife Stadium,Estados Unidos,América del Norte,82500,47920
Lorde,Neozelandesa,1996-11-07 00:00:00,Solar Power Tour,17,95,Madison Square Garden,Estados Unidos,América del Norte,20000,10576
Dua Lipa,Británica,1995-08-22 00:00:00,The Self-Titled Tour,16,95,Movistar Arena Madrid,España,Europa,17000,13245
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Wonder World Tour,19,100,Tokyo Dome,Japón,Asia,55000,49662
Maroon 5,Estadounidense,2000-01-01 00:00:00,World Tour,20,105,Staples Center,Estados Unidos,América del Norte,20000,17874
Taylor Swift,Estadounidense,1989-12-13 00:00:00,Speak Now World Tour,15,95,Rogers Centre,Canadá,América del Norte,50000,32279
Rihanna,Barbadense,1988-02-20 00:00:00,Anti World Tour,22,110,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,57700
Sam Smith,Británico,1992-05-19 00:00:00,Thrill of It All Tour,19,100,Camp Nou,España,Europa,99000,55545
Selena Gomez,Estadounidense,1992-07-22 00:00:00,Revival Tour,20,105,Palau Sant Jordi,España,Europa,18000,16766
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Shawn Mendes: The Tour,22,110,Allianz Arena,Alemania,Europa,75000,55235
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Dangerous Woman Tour,22,110,Rose Bowl Stadium,Estados Unidos,América del Norte,88000,87227
Taylor Swift,Estadounidense,1989-12-13 00:00:00,Fearless Tour,14,90,Allianz Arena,Alemania,Europa,75000,70954
Rihanna,Barbadense,1988-02-20 00:00:00,Loud Tour,22,110,Santiago Bernabéu,España,Europa,81000,63179
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Illuminate World Tour,18,95,Allianz Arena,Alemania,Europa,75000,37786
Harry Styles,Británico,1994-02-01 00:00:00,Harry Styles Live Tour,17,100,Allianz Arena,Alemania,Europa,75000,51927
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Shawn Mendes: The Tour,22,110,River Plate Stadium,Argentina,América del Sur,83000,76512
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Shawn Mendes: The Tour,22,110,River Plate Stadium,Argentina,América del Sur,83000,55391
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Mercury World Tour,22,110,Allianz Arena,Alemania,Europa,75000,43838
Harry Styles,Británico,1994-02-01 00:00:00,Love On Tour,22,110,National Stadium Singapore,Singapur,Asia,55000,43575
The Weeknd,Canadiense,1990-02-16 00:00:00,Starboy Tour,26,120,Accor Arena,Francia,Europa,20000,18770
Coldplay,Británico,2000-01-01 00:00:00,Viva la Vida Tour,20,105,National Stadium Singapore,Singapur,Asia,55000,29077
Bruno Mars,Estadounidense,1985-10-08 00:00:00,24K Magic World Tour,22,110,Olympic Stadium,Reino Unido,Europa,60000,51805
Sam Smith,Británico,1992-05-19 00:00:00,Gloria Tour,20,105,Foro Sol,México,América del Norte,65000,34234
Beyonce,Estadounidense,1981-09-04 00:00:00,Mrs Carter Show World Tour,30,135,Movistar Arena Madrid,España,Europa,17000,14112
The Weeknd,Canadiense,1990-02-16 00:00:00,After Hours Til Dawn Tour,30,140,Camp Nou,España,Europa,99000,98364
Bruno Mars,Estadounidense,1985-10-08 00:00:00,24K Magic World Tour,22,110,Sydney Olympic Park,Australia,Oceanía,83000,77608
Bruno Mars,Estadounidense,1985-10-08 00:00:00,Doo-Wops & Hooligans Tour,17,95,Arena Ciudad de México,México,América del Norte,22000,20235
The Weeknd,Canadiense,1990-02-16 00:00:00,After Hours Til Dawn Tour,30,140,Foro Sol,México,América del Norte,65000,55283
Halsey,Estadounidense,1994-09-29 00:00:00,Hopeless Fountain Kingdom Tour,18,100,Staples Center,Estados Unidos,América del Norte,20000,10794
Billie Eilish,Estadounidense,2001-12-18 00:00:00,When We All Fall Asleep Tour,22,105,National Stadium Singapore,Singapur,Asia,55000,39407
Sam Smith,Británico,1992-05-19 00:00:00,In the Lonely Hour Tour,16,90,Palau Sant Jordi,España,Europa,18000,13912
Halsey,Estadounidense,1994-09-29 00:00:00,Hopeless Fountain Kingdom Tour,18,100,MetLife Stadium,Estados Unidos,América del Norte,82500,73225
Coldplay,Británico,2000-01-01 00:00:00,Mylo Xyloto Tour,22,110,Estadio Azteca,México,América del Norte,87000,44882
Katy Perry,Estadounidense,1984-10-25 00:00:00,Prismatic World Tour,24,120,Arena Ciudad de México,México,América del Norte,22000,13436
Billie Eilish,Estadounidense,2001-12-18 00:00:00,When We All Fall Asleep Tour,22,105,WiZink Center,España,Europa,17000,9417
Taylor Swift,Estadounidense,1989-12-13 00:00:00,1989 World Tour,19,110,Rose Bowl Stadium,Estados Unidos,América del Norte,88000,62844
Harry Styles,Británico,1994-02-01 00:00:00,Love On Tour,22,110,AT&T Stadium,Estados Unidos,América del Norte,80000,55087
Justin Bieber,Canadiense,1994-03-01 00:00:00,Purpose World Tour,24,115,Tokyo Dome,Japón,Asia,55000,49975
Katy Perry,Estadounidense,1984-10-25 00:00:00,Prismatic World Tour,24,120,Arena Ciudad de México,México,América del Norte,22000,20590
Lorde,Neozelandesa,1996-11-07 00:00:00,Melodrama World Tour,18,100,Rod Laver Arena,Australia,Oceanía,15000,10629
Maroon 5,Estadounidense,2000-01-01 00:00:00,Red Pill Blues Tour,22,110,Wembley Stadium,Reino Unido,Europa,90000,56127
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Shawn Mendes: The Tour,22,110,Allianz Arena,Alemania,Europa,75000,46665
The Weeknd,Canadiense,1990-02-16 00:00:00,Madness Fall Tour,22,110,River Plate Stadium,Argentina,América del Sur,83000,65152
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Dangerous Woman Tour,22,110,Maracanã Stadium,Brasil,América del Sur,78000,52888
Rihanna,Barbadense,1988-02-20 00:00:00,Diamonds World Tour,24,120,United Center,Estados Unidos,América del Norte,21000,16465
Taylor Swift,Estadounidense,1989-12-13 00:00:00,1989 World Tour,19,110,Tokyo Dome,Japón,Asia,55000,51509
Beyonce,Estadounidense,1981-09-04 00:00:00,Formation World Tour,32,140,Movistar Arena Madrid,España,Europa,17000,15763
Selena Gomez,Estadounidense,1992-07-22 00:00:00,We Own the Night Tour,15,90,Staples Center,Estados Unidos,América del Norte,20000,19074
Harry Styles,Británico,1994-02-01 00:00:00,Love On Tour,22,110,Palau Sant Jordi,España,Europa,18000,15419
Coldplay,Británico,2000-01-01 00:00:00,A Head Full of Dreams Tour,24,120,SoFi Stadium,Estados Unidos,América del Norte,70000,46971
Selena Gomez,Estadounidense,1992-07-22 00:00:00,Revival Tour,20,105,Allianz Arena,Alemania,Europa,75000,44259
Maroon 5,Estadounidense,2000-01-01 00:00:00,World Tour,20,105,SoFi Stadium,Estados Unidos,América del Norte,70000,53852
Dua Lipa,Británica,1995-08-22 00:00:00,The Self-Titled Tour,16,95,MetLife Stadium,Estados Unidos,América del Norte,82500,79983
Sam Smith,Británico,1992-05-19 00:00:00,Gloria Tour,20,105,Arena Corinthians,Brasil,América del Sur,49000,37145
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Shawn Mendes: The Tour,22,110,Movistar Arena Madrid,España,Europa,17000,12682
Dua Lipa,Británica,1995-08-22 00:00:00,The Self-Titled Tour,16,95,Madison Square Garden,Estados Unidos,América del Norte,20000,15755
Rihanna,Barbadense,1988-02-20 00:00:00,Anti World Tour,22,110,Camp Nou,España,Europa,99000,55949
The Weeknd,Canadiense,1990-02-16 00:00:00,After Hours Til Dawn Tour,30,140,United Center,Estados Unidos,América del Norte,21000,17322
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Smoke + Mirrors Tour,19,100,Arena Ciudad de México,México,América del Norte,22000,18551
Katy Perry,Estadounidense,1984-10-25 00:00:00,California Dreams Tour,22,110,Movistar Arena Madrid,España,Europa,17000,12317
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Night Visions Tour,17,95,Accor Arena,Francia,Europa,20000,15085
Harry Styles,Británico,1994-02-01 00:00:00,Harry Styles Live Tour,17,100,Rod Laver Arena,Australia,Oceanía,15000,11291
Ariana Grande,Estadounidense,1993-06-26 00:00:00,The Honeymoon Tour,19,100,AT&T Stadium,Estados Unidos,América del Norte,80000,71368
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Sweetener World Tour,26,125,Sydney Olympic Park,Australia,Oceanía,83000,65281
Halsey,Estadounidense,1994-09-29 00:00:00,Manic World Tour,20,105,Maracanã Stadium,Brasil,América del Sur,78000,40276
Coldplay,Británico,2000-01-01 00:00:00,Music of the Spheres World Tour,25,125,United Center,Estados Unidos,América del Norte,21000,20844
Harry Styles,Británico,1994-02-01 00:00:00,Love On Tour,22,110,Palau Sant Jordi,España,Europa,18000,16231
Coldplay,Británico,2000-01-01 00:00:00,A Head Full of Dreams Tour,24,120,Movistar Arena Madrid,España,Europa,17000,10362
Dua Lipa,Británica,1995-08-22 00:00:00,Future Nostalgia Tour,22,110,Camp Nou,España,Europa,99000,76555
Selena Gomez,Estadounidense,1992-07-22 00:00:00,Stars Dance Tour,17,95,Scotiabank Arena,Canadá,América del Norte,20000,18075
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Sweetener World Tour,26,125,Wembley Stadium,Reino Unido,Europa,90000,74875
Billie Eilish,Estadounidense,2001-12-18 00:00:00,When We All Fall Asleep Tour,22,105,Staples Center,Estados Unidos,América del Norte,20000,12036
Ed Sheeran,Británico,1991-02-17 00:00:00,Divide Tour,22,115,Allianz Arena,Alemania,Europa,75000,54358
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Shawn Mendes: The Tour,22,110,Scotiabank Arena,Canadá,América del Norte,20000,11919
Coldplay,Británico,2000-01-01 00:00:00,Mylo Xyloto Tour,22,110,Sydney Olympic Park,Australia,Oceanía,83000,54782
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Sweetener World Tour,26,125,River Plate Stadium,Argentina,América del Sur,83000,67205
Ed Sheeran,Británico,1991-02-17 00:00:00,Multiply Tour,17,100,National Stadium Singapore,Singapur,Asia,55000,43463
Ed Sheeran,Británico,1991-02-17 00:00:00,Multiply Tour,17,100,Movistar Arena Madrid,España,Europa,17000,8923
Bruno Mars,Estadounidense,1985-10-08 00:00:00,Moonshine Jungle Tour,20,105,River Plate Stadium,Argentina,América del Sur,83000,43542
Ed Sheeran,Británico,1991-02-17 00:00:00,Divide Tour,22,115,Foro Sol,México,América del Norte,65000,51913
Dua Lipa,Británica,1995-08-22 00:00:00,The Self-Titled Tour,16,95,MetLife Stadium,Estados Unidos,América del Norte,82500,81282
Ed Sheeran,Británico,1991-02-17 00:00:00,Mathematics Tour,24,120,Rod Laver Arena,Australia,Oceanía,15000,12769
Sam Smith,Británico,1992-05-19 00:00:00,Gloria Tour,20,105,Palau Sant Jordi,España,Europa,18000,17950
Selena Gomez,Estadounidense,1992-07-22 00:00:00,We Own the Night Tour,15,90,Tokyo Dome,Japón,Asia,55000,52732
Sam Smith,Británico,1992-05-19 00:00:00,In the Lonely Hour Tour,16,90,River Plate Stadium,Argentina,América del Sur,83000,68836
Ed Sheeran,Británico,1991-02-17 00:00:00,Divide Tour,22,115,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,67823
Katy Perry,Estadounidense,1984-10-25 00:00:00,California Dreams Tour,22,110,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,64050
Ed Sheeran,Británico,1991-02-17 00:00:00,Multiply Tour,17,100,MetLife Stadium,Estados Unidos,América del Norte,82500,43364
Justin Bieber,Canadiense,1994-03-01 00:00:00,Purpose World Tour,24,115,Tokyo Dome,Japón,Asia,55000,46721
Taylor Swift,Estadounidense,1989-12-13 00:00:00,1989 World Tour,19,110,Rod Laver Arena,Australia,Oceanía,15000,8412
Sam Smith,Británico,1992-05-19 00:00:00,In the Lonely Hour Tour,16,90,WiZink Center,España,Europa,17000,16501
Sam Smith,Británico,1992-05-19 00:00:00,In the Lonely Hour Tour,16,90,National Stadium Singapore,Singapur,Asia,55000,28897
Sam Smith,Británico,1992-05-19 00:00:00,Gloria Tour,20,105,Sydney Olympic Park,Australia,Oceanía,83000,49567
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Evolve World Tour,20,105,AT&T Stadium,Estados Unidos,América del Norte,80000,40951
Dua Lipa,Británica,1995-08-22 00:00:00,The Self-Titled Tour,16,95,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,66420
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Wonder World Tour,19,100,Staples Center,Estados Unidos,América del Norte,20000,18376
Dua Lipa,Británica,1995-08-22 00:00:00,Future Nostalgia Tour,22,110,Maracanã Stadium,Brasil,América del Sur,78000,49452
Katy Perry,Estadounidense,1984-10-25 00:00:00,Witness Tour,22,110,Olympic Stadium,Reino Unido,Europa,60000,50905
Billie Eilish,Estadounidense,2001-12-18 00:00:00,Happier Than Ever Tour,24,110,Scotiabank Arena,Canadá,América del Norte,20000,17768
Billie Eilish,Estadounidense,2001-12-18 00:00:00,Happier Than Ever Tour,24,110,Sydney Olympic Park,Australia,Oceanía,83000,74249
Katy Perry,Estadounidense,1984-10-25 00:00:00,California Dreams Tour,22,110,O2 Arena,Reino Unido,Europa,20000,19570
Coldplay,Británico,2000-01-01 00:00:00,Viva la Vida Tour,20,105,Scotiabank Arena,Canadá,América del Norte,20000,11664
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Mercury World Tour,22,110,Palau Sant Jordi,España,Europa,18000,11174
Harry Styles,Británico,1994-02-01 00:00:00,Love On Tour,22,110,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,49132
Selena Gomez,Estadounidense,1992-07-22 00:00:00,Revival Tour,20,105,WiZink Center,España,Europa,17000,15111
Rihanna,Barbadense,1988-02-20 00:00:00,Anti World Tour,22,110,Olympic Stadium,Reino Unido,Europa,60000,53942
Maroon 5,Estadounidense,2000-01-01 00:00:00,V Tour,19,100,WiZink Center,España,Europa,17000,12543
Ed Sheeran,Británico,1991-02-17 00:00:00,Multiply Tour,17,100,Rod Laver Arena,Australia,Oceanía,15000,13775
Coldplay,Británico,2000-01-01 00:00:00,A Head Full of Dreams Tour,24,120,Accor Arena,Francia,Europa,20000,19253
Rihanna,Barbadense,1988-02-20 00:00:00,Diamonds World Tour,24,120,Estadio Azteca,México,América del Norte,87000,75751
Halsey,Estadounidense,1994-09-29 00:00:00,Manic World Tour,20,105,Olympic Stadium,Reino Unido,Europa,60000,41415
Harry Styles,Británico,1994-02-01 00:00:00,Love On Tour,22,110,Camp Nou,España,Europa,99000,50105
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Smoke + Mirrors Tour,19,100,SoFi Stadium,Estados Unidos,América del Norte,70000,37123
Selena Gomez,Estadounidense,1992-07-22 00:00:00,Stars Dance Tour,17,95,Olympic Stadium,Reino Unido,Europa,60000,32327
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Mercury World Tour,22,110,Palau Sant Jordi,España,Europa,18000,9343
Dua Lipa,Británica,1995-08-22 00:00:00,The Self-Titled Tour,16,95,Foro Sol,México,América del Norte,65000,63752
Ed Sheeran,Británico,1991-02-17 00:00:00,Mathematics Tour,24,120,Rose Bowl Stadium,Estados Unidos,América del Norte,88000,74176
Sam Smith,Británico,1992-05-19 00:00:00,Gloria Tour,20,105,Foro Sol,México,América del Norte,65000,50432
Bruno Mars,Estadounidense,1985-10-08 00:00:00,Moonshine Jungle Tour,20,105,Santiago Bernabéu,España,Europa,81000,61837
Rihanna,Barbadense,1988-02-20 00:00:00,Diamonds World Tour,24,120,Camp Nou,España,Europa,99000,74364
The Weeknd,Canadiense,1990-02-16 00:00:00,Madness Fall Tour,22,110,MetLife Stadium,Estados Unidos,América del Norte,82500,64274
Billie Eilish,Estadounidense,2001-12-18 00:00:00,When We All Fall Asleep Tour,22,105,Arena Corinthians,Brasil,América del Sur,49000,38432
Billie Eilish,Estadounidense,2001-12-18 00:00:00,When We All Fall Asleep Tour,22,105,Arena Corinthians,Brasil,América del Sur,49000,34850
Shawn Mendes,Canadiense,1998-08-08 00:00:00,Illuminate World Tour,18,95,Tokyo Dome,Japón,Asia,55000,52904
Ed Sheeran,Británico,1991-02-17 00:00:00,Multiply Tour,17,100,United Center,Estados Unidos,América del Norte,21000,20780
Rihanna,Barbadense,1988-02-20 00:00:00,Anti World Tour,22,110,Tokyo Dome,Japón,Asia,55000,34883
Beyonce,Estadounidense,1981-09-04 00:00:00,Formation World Tour,32,140,MetLife Stadium,Estados Unidos,América del Norte,82500,82035
Beyonce,Estadounidense,1981-09-04 00:00:00,Renaissance World Tour,32,150,Scotiabank Arena,Canadá,América del Norte,20000,12888
The Weeknd,Canadiense,1990-02-16 00:00:00,Starboy Tour,26,120,WiZink Center,España,Europa,17000,14004
Imagine Dragons,Estadounidense,2000-01-01 00:00:00,Night Visions Tour,17,95,Allianz Arena,Alemania,Europa,75000,49191
Katy Perry,Estadounidense,1984-10-25 00:00:00,California Dreams Tour,22,110,Arena Ciudad de México,México,América del Norte,22000,18851
Katy Perry,Estadounidense,1984-10-25 00:00:00,Witness Tour,22,110,Rogers Centre,Canadá,América del Norte,50000,43125
Beyonce,Estadounidense,1981-09-04 00:00:00,Renaissance World Tour,32,150,Rod Laver Arena,Australia,Oceanía,15000,12552
Halsey,Estadounidense,1994-09-29 00:00:00,Manic World Tour,20,105,Wembley Stadium,Reino Unido,Europa,90000,85357
Beyonce,Estadounidense,1981-09-04 00:00:00,Renaissance World Tour,32,150,Rogers Centre,Canadá,América del Norte,50000,41466
Lorde,Neozelandesa,1996-11-07 00:00:00,Solar Power Tour,17,95,Sydney Olympic Park,Australia,Oceanía,83000,58479
Maroon 5,Estadounidense,2000-01-01 00:00:00,Red Pill Blues Tour,22,110,Allianz Arena,Alemania,Europa,75000,69423
Ed Sheeran,Británico,1991-02-17 00:00:00,Multiply Tour,17,100,Scotiabank Arena,Canadá,América del Norte,20000,19720
Harry Styles,Británico,1994-02-01 00:00:00,Love On Tour,22,110,Arena Ciudad de México,México,América del Norte,22000,19679
Sam Smith,Británico,1992-05-19 00:00:00,In the Lonely Hour Tour,16,90,Mercedes-Benz Stadium,Estados Unidos,América del Norte,71000,59582
Selena Gomez,Estadounidense,1992-07-22 00:00:00,We Own the Night Tour,15,90,Estadio Azteca,México,América del Norte,87000,79873
Beyonce,Estadounidense,1981-09-04 00:00:00,On the Run II Tour,36,160,National Stadium Singapore,Singapur,Asia,55000,36095
Billie Eilish,Estadounidense,2001-12-18 00:00:00,Happier Than Ever Tour,24,110,Foro Sol,México,América del Norte,65000,32603
Dua Lipa,Británica,1995-08-22 00:00:00,The Self-Titled Tour,16,95,Allianz Arena,Alemania,Europa,75000,45577
Bruno Mars,Estadounidense,1985-10-08 00:00:00,Moonshine Jungle Tour,20,105,Tokyo Dome,Japón,Asia,55000,44785
Ariana Grande,Estadounidense,1993-06-26 00:00:00,Sweetener World Tour,26,125,Wembley Stadium,Reino Unido,Europa,90000,84384
Coldplay,Británico,2000-01-01 00:00:00,Mylo Xyloto Tour,22,110,O2 Arena,Reino Unido,Europa,20000,17092
Taylor Swift,Estadounidense,1989-12-13 00:00:00,1989 World Tour,19,110,Foro Sol,México,América del Norte,65000,40146
Beyonce,Estadounidense,1981-09-04 00:00:00,On the Run II Tour,36,160,Palau Sant Jordi,España,Europa,18000,16369
Maroon 5,Estadounidense,2000-01-01 00:00:00,V Tour,19,100,Sydney Olympic Park,Australia,Oceanía,83000,80783
Taylor Swift,Estadounidense,1989-12-13 00:00:00,Reputation Stadium Tour,24,120,AT&T Stadium,Estados Unidos,América del Norte,80000,53371
Harry Styles,Británico,1994-02-01 00:00:00,Love On Tour,22,110,SoFi Stadium,Estados Unidos,América del Norte,70000,60795
Sam Smith,Británico,1992-05-19 00:00:00,Thrill of It All Tour,19,100,Movistar Arena Madrid,España,Europa,17000,13083
